genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[100]ueKHJcHuNcJccfHgyetHxuccvcEcKzcAbccDchwxcBjccOhKcAnHJcmcPccccvncIkvdbcDcccNccLccofBtrHJacccxyPcMtcOG",1.09459e+10,172684,203,380,66,0, 1
"[99]cccLcGzHcPvFkccAJcccmcudNIHFybcrsKccPccGFLEcswytcvjmcucpEhActcccfcQcccccAcrcMkHcbFcepclccccKnxcjRcv",1.36802e+09,5114.77,130,514,200,2, 10
"[95]cKccctcccHqFcouJcwccccNrcccHhmczcezccHwHtcKaxcbccoJQhczcHcmrHEyjksblywchHcelcwcOPcJckqccHPnccMG",4.89167e+16,1.26415e+06,197,669,147,0, 100
"[101]NtfwKaBHcHcMPHeNIpFbkIccwincJgpcldjucFHncHMowcHKPMcocjenNcfscazjcHjccceQPcdObhcycOcQHEFcycQsxcPcucyMG",1.21762e+11,9.32811e+06,206,403,22,2, 101
"[95]NkcGjccsHcAdarOKGcrdcHcpcncFHrcjcHcLcRAHaowIfHHscmOJkcHcaOpzpccwHJccALHLcPcBcucBypOekacKcopJDcR",1.33657e+13,5.72594e+08,235,520,36,3, 102
"[99]wcfRzhIQmRmenpuckccgCQCczNhcAcccrvsoucfcwmHNpOcLgxcfbszccocsHKmCccKcaRFcbRIQnIqqDcLJLcGdculFxsPcccG",1.59372e+18,1.53062e+08,169,712,5,1, 103
"[94]cHpdeCnKNcIplHHHHHHgHHOGEpcqqcbfJOcyJJCPpPrsuitJcKlzgtayelkCyOpHRMRPFoMKwOGceijPbCKBwJMNBHuKcn",5.01441e+22,1.25566e+13,800,788,78,0, 104
"[93]cQcmcIFccwccsaccjccBccxcoccPnccocNccccOcxnHuczMxcpnHccKcccHAcgcRLcrOcyOcHRvocccKdctLccwcccbEG",1234.98,264.101,124,121,7,3, 105
"[99]cmcsjxqaccccgHHpccccqoKBunDbbncQcwcHrccHQhccAtcAcfIcyQIcQQHcknKcttHyFAyHufLcPcrPRauswixcHmFHRGswdnF",6.13152e+10,3.32902e+06,194,440,21,1, 106
"[102]FwdcFeDacDxiirzfvccgctfbjzcwGEvHqcccRcgjgkrckznrJxecmjKccHcPbEAMKHdncjcHmIHccHMfGbOCHcFqAIlccnKlcbfRQv",5.0753e+08,616697,158,343,22,3, 107
"[100]zEPxHrONsyefFeFmIcougornIgcQstaoFcjcFejKvlcnirgQhPkAlcHFJHDcQrHhcptDryBcuGGbgewQrMczwgwuNcCAcNrKhEeG",9.0017e+13,19272.9,517,813,271,1, 108
"[98]ccyAcnDcNMccycBMcpNcLtPccfKNucccQclcxloOccHccFccIbeucscccLHkOFcccKMcaczHAcclccccHcNHccBAcccccQmcqG",2.8152e+07,1.35679e+07,139,268,35,0, 109
"[94]OBdLHHBcchcnFHHHmwHmcHbKbIyunwwaNPccRBnclMwFDcqKHncBfHPJPdGGcjccEEcepAObNxEActNGEcnLacIDhKHgKo",2.7765e+14,9.68434e+15,322,614,53,1, 11
"[103]iicfccOgKcccHOuccRvcgcccfocHcccQfCcccEcccAsKcAPagcccNHObcceccvclccctccymORccHIccBccKcccHccccqMsrccriynH",1.80999e+07,508.817,115,253,26,0, 110
"[96]LcebPunBecxeuwKcnQccncmeOcPgcazjDacGCcBHhkIxgHoxLtcJLHvbJFiaujesfHuccdCcgccHmHaIHwxcHRcADpKIchQc",1.96388e+15,2.33808e+09,441,598,4,1, 111
"[103]pBocNcEccEHzcncccKcRcOfyyccwccHPtJcxcKtrfdcdsccQkcccccRccccccccHccAcFcvcccaccwcacGCcRcccNcNIchNcccikAcG",103.334,64.671,79,63,0,0, 112
"[97]iAcIcccnHFgPccccabuxfcHHHcKcABmcOPHdoQlOdOvcucQPcJyFxcepakrMecyiccxFcJCcHHlcDcacmcHcLqcvcBuDcjnct",9.43609e+18,272436,209,791,54,1, 113
"[102]nclfrNncMecccaBpaccccFHcNcciRcPzczlcrHzJccHicdcfrKRsQccJNcIcxiORzccIccwhEGcporbiElrlhNpKcfcbsjcicHcHcd",1.36316e+14,5.66024e+06,160,678,129,1, 114
"[101]yrKcsHpdQzcbxcpNPcRwKfHksccDcecFjphswcvherNcIwccOceecuHkcAHFcqcJNctdRjaGctnlEpptccHvHMGkcHmPcJcJeLJEz",3.74899e+11,3.54495e+10,246,489,127,0, 115
"[98]KccyvvccczcHHxccIcvfcapcccchpotccccccfxcairKuccccaccfcccQcccbcccOyczHcgfekcckcQccpcpeacJcRLCcjaPJg",4.16996e+13,137.472,125,577,151,0, 116
"[79]eKyLoaREpqbuHmPAmLLcxMAcxHKcqhzodGNInQfmebKQHgRicJQdgtbvnaldAgcJJPiCecGMoagmcLh",1.34826e+22,6.7781e+13,754,992,176,3, 117
"[86]tBceHPNcxHMviccPzOMntHEcKcpecuncRKckdJNMjdqcEcwGaxmfONaNpcBxyzrBtPczxcDzMGkfjcDQJaCKfn",1.84235e+22,5.66024e+06,557,1107,286,3, 118
"[93]JHOGcHkdccfccciyccstcHqcdccucOccHjeHpcxyccjccoccciccccIhAieccoDfagcHNCscbccKccAccccacIAHPzccH",8.63284e+12,1.53895e+08,168,486,9,3, 119
"[105]cEcuodcvucEIckjcMayEpcoKoccntlIcchzufjcccccwLccJoJAHQccgbDcncdHcoQzcPcwmcHcHgcjdKcBlccmqRPydBcpswjcpGHObm",1.42199e+08,2075.24,177,281,26,0, 12
"[100]OHMduePcetscnxcHgeojccIHDcFcKccRcJcHRvcccCjcPccIcnrcQdMdcHctPLcclcjcccyKQcvcochfccbgchccIcRPJcHccczG",2.26721e+14,77936.2,181,466,17,0, 120
"[88]ccjcxcNcIPNvHmHCbNJoPzcNJHctHHOcHKcRictcicPzNfcquHKGDxfxrCGPvnrcDszEKwlpGNHQbRIDiBFqsaIO",1.79964e+25,1.87348e+10,510,1012,144,2, 121
"[97]ccHcoIcwccccjcccccccccccmBcccccccccwEHcOEcccHcAcncccEJcOcccccJccicccccHrmNMcccccKccFccNcccLcccquh",1.03146e+15,72405.2,63,578,62,2, 122
"[98]ccHpcRcHKcaciclctcHKccPwrHhcpccccccAbcbcAcfQBcczccsocIcckecccHoczcjAHHHvIKFQgcBcngoIPcckpcculcccFi",7.27217e+11,30253,141,612,241,0, 123
"[105]uNoDbtpcsoFrsccccbccoacjhlPlMKPlnHpAccrkiwzjmMckncHKGsHGqccIPzAecHtHctfccEHwczcHckcciccjcFxQtHnziccABNccG",4334.9,76.763,196,141,16,2, 124
"[93]LmLHaccFcnccjHcByQcvbxwecApcccacLcHOQLCbdwbHcPictFcHDccKceRAncOQccccIcnceppMcltCdctFcuIHHcRnH",2.3428e+16,2.47987e+06,261,575,63,0, 125
"[96]FMqcceNMlcxfcacsjIcccgcRcHcdcFxHLJxcHcpccLvfcbjscchccdaMccDcfcFcBcoczuPoBRccMeKfcEcrxcgcKcHnscOG",6.40595e+10,2.72465e+12,152,389,51,0, 126
"[102]eHHclcOcLyocchuxccczsQNvMcncolQEHHccEccvfcnyIcPcKRccckcdecRmHhcJccqsvqQccypfcvcCfIfDOQkfcHKcRjIIAIkcse",4.74677e+21,3.29479e+07,197,789,44,2, 127
"[94]bLcHHHPdcfqPbOzcKhintcdalAhBuccCcoHHzcEvicrHctccAecscJEfNbcQJcQBKcgaHHcBcchcuiyQcNDcchxdxccdHH",9.25644e+10,26459.3,219,454,111,0, 128
"[100]sccwfmnLIFcAtQcckcwacujcccBncnbcccKccccchHMAnccRfmcHNcIbMfcAzNocvccccnchaHFcckcdcsbcccHnccdcnHFcgcLh",1.25727e+18,993.391,130,821,118,1, 129
