genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[99]vcHqcbbpsPuwxNcgcgHQcecslicuDAvbwPMfwzLcKcchQQecMmcJmCfyHOBHqecctccOccHFfcxQxvydOeiscccHaccgcRcHjMG",5.45148e+09,34637,198,394,83,3, 1
"[56]HHMJrQcJkcccrQdHzHHNnMjcJLLuHQaeJHHyaMGJHlfpnBIofjichcnc",7.24294e+08,5.53441e+07,2115,506,223,3, 10
"[97]pRJKHzqkEILacKpCGbzcRxAmAcRCIbBduapCMIBwMAtkaJzgHLwlpQpPEIFexwQfODzotfIyMQABPazvofgvvHKckncJqjcan",1.4152e+14,3.16905e+10,1549,526,74,3, 100
"[101]zccQDcRDccpcQccHNosQdfHcxccHNPcIuHKcxMccwcaNwctcQculiHigcwdccFJciQucnusFHwjccNcHcvwamucccJcrBrPcAkcPa",3.72275e+07,4582.41,212,257,44,0, 101
"[106]kcjchcxQbQjccPlcHhjcDcHiczycefRrsicJxcacHPecfPbFlcpMCENIjwsckyhdeJyqrgsfjKHLokbHnhpcBHevILQzcuAKqccOcNQfcG",9.61797e+10,478901,351,501,192,0, 102
"[101]eJHRcweqcKFwcijccHgcKqjccclhcijAzqcccycccccqcccObcsxciccsccEHccccQcccCewjvccccQlNBmcKcciccccAcHccHcfB",7.51772e+06,3868.68,108,368,138,1, 103
"[73]ctfOsHgcBFMcOHjeJefOIHHgHycKcvvudQJdcmwcqaccncJOeybNOtHFzocwcHtaiMzksxcPG",3.11534e+10,2.1775e+06,553,433,82,1, 104
"[88]zztccOcOuHoxHCcHHiJHiegcjacHocdRcivPchoucmaJdBrrsajaKccnjqceachbndKbOtcFccDcsLdbhcshcQin",7.56156e+17,1.47063e+06,354,781,278,0, 105
"[105]cccOccHpccqcOycccHeocpzvCcccrqfcccdPeGcarcnlpcDKwccqOHHcHcOcdfhctElcHccFcMcHPRcccwQccnfvcccJcLcccjKccwQxM",3.0882e+06,3147.31,122,384,185,2, 106
"[94]HraBfcJHPJjHFHocceFuHcHKcFHrKRsclicaclcNcNHcBiqoEcfcLAslpprcKjcccndfaBfyepCvjNmLMKyCcJzffHHvca",2.2327e+11,2.28696e+06,404,550,202,2, 107
"[101]ybccbxcgcKglceHcyFMcLdBnHQBolkkcErycpjoAAyuHKoJkcccKbbkkcJceHqabcPcabIHcnHcrKcdMbqRcODcRLfifysydudApG",7.42363e+11,232884,275,596,232,2, 108
"[100]JncBdcHiHOHQbfevHlcFqKHORpCpvQprQsMOoccppcHBxPMkcccRpiwfRAOnrcqfBQpFeQEvMGycdmcHJcfzcFahcscmchFPsnpo",7.16498e+07,1.78225e+07,1406,262,41,0, 109
"[38]HHlficccoQjdHOoBPpNJofmJHicccQHhQHikcp",794872,252745,2611,236,70,0, 11
"[92]ecwoQfPqceacPfswccHCqhHBgARFQgLrIEqJvlzPwDFmJIOIscvDpxciDfpAiFaCNcckEwJKcHncQqHtowDeiapkpyMk",1.51745e+11,638061,750,446,72,1, 110
"[104]JFwcfDcscRaJhcJwvcbrzsLuwcQbjbjlRGAtrroizgEhBcwcrccwemtHlaOmfclobcsrcvHHMcazxnEcocHBcncmeMcazHjuwymgctwK",1.11155e+08,1.58897e+10,365,368,111,3, 111
"[94]chcpccQOcccsbcccHlKFpcdcccDcPobacxcnccyccHcpnQcacockccccRPJcBechkFtNcQcclocHJccctMJchcsbPccmPG",2.71465e+10,20912,170,750,401,1, 112
"[99]neKHpfECccHotKJHHcuBpNcfdweycDcecqccOcgAxccHMcrBcqncLaHFvnQFRcONxbccdyccPhJzepMcHLcKcPJmctkrmcFoeAm",7.41909e+08,1.52985e+06,344,313,41,2, 113
