genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[104]cIywPbacbqaccLIOsBcKAEExpIKvgcNbExhtjKBxPMeRFxQlhcxczFcccQDccRzpgtykocGfPacgcvcOmnmCcwNPLwxHaCcxcaBOxcso",3.02221e+09,1.30072e+10,353,494,150,3, 1
"[90]LkbccddxsccQbIAcHmFgODBcBvKMcQpcjLcfFccIfPHycweKnIcHbpgMrOaBIDczncoHlaHyrcxceHQAsHHvdRrqPG",6.59033e+08,446286,378,431,111,0, 10
"[99]GiECRabLhDofIpPjRmuilsRgciLDeaywpMfDNwklalnQyyPldKcIHmaaufyKjuMeQFgPFlIPGoIGGoIzvNtKcHDcqbadIMkncHR",695866,18692.7,2367,252,40,3, 100
"[99]IHfLRKhndJCkqsAOlociHDEGpEjkeFLBNrhIscEfcMdPHPeePhnNIEacHHKlcqjHAjdNgfnheRwFpGGCvrccdlcOAQJQdcChwcm",1.15611e+06,62414.3,1827,345,125,3, 101
"[102]EvEkwufvaQcyDkFBgmEPtjKjdccHeNrLdBeIQqlAFHMbIcQcHvjcdkHNbwtNdxkRlcKcnHcahpgEczAjrzMCEMcecaOncDcBxkcBQG",2.49832e+09,183564,438,535,194,1, 102
"[98]RHuMGbfnMkbvIxFcoHQErtcbsueoutKcoiccPRccpKdoQzPuNbLLtyHyceAtdOqybuaxbbOzrIzwHhcbobcIfRCcfNkMocaPcg",1.50377e+16,1.58779e+06,768,675,88,1, 103
"[85]cxzcMffIBcctumKNHusnsBPnplBlKMmcIMrcEMidBciccnvHDdgHKLcpcGnKawKcoEykccnOBevzQwyOcHhch",955699,17543.4,620,219,2,1, 104
"[102]NaacgLcHjccEccLKccpGnKlcycRqbcccPccfoIcawFcccIcILxccgkfcfQcLcuEckcMicAQCdcrccCcDctHovccPoawcjHchchdPcG",3.96674e+08,1477.39,132,494,182,1, 105
"[85]HwudcHIcNBEfcccuoGuLvrfstOHOHNMacoucgcNIMdOtploAdvHOacMBOdcQAIQoKAyMNajHtnnpdHsQbcpEa",2.14149e+07,8.80824e+06,676,273,7,1, 106
"[102]NiaHcIPGhcHLcFClrGJDBfxlkaOvGNtsuqokohiddhgNAKPbAQnMzNcKzoipyIaxcuzvEKctdcnzwoHOJyHMqkeelcOqtdxcKPjolQ",7.34771e+09,45445.9,929,508,150,2, 107
"[50]vaxKIKcOzOGOhFeHHhyiybHzcAInmgcoIQfplDeMEMHKlBFHjH",252104,4344.09,1903,204,8,2, 108
"[100]HNffusrMHerlwcRHcHIcgcanccCOajtbFHRcAIpOhcNGlecfmcccjcoNQwfceicysFOcJgcKcNcRncpKrpvwcAvymnchcARdcKIz",5.35004e+09,8.80824e+06,362,645,292,3, 109
"[95]PNvFcOdvDdbcuHoOczKcyaqacbRacApccoPciIwlQctIaLCfkpapycPCctAcyFugMIxBEbyQtcyvfacHOxdHnDvOGcuNcLj",1.70726e+16,16464.8,312,732,143,1, 11
"[49]osQaIuuzhIeapnprnAKGBRsRsHHIyOkQIKGqlHdzlBmRnmEHr",161684,62414.8,3003,206,17,3, 110
"[98]MKzQnacHOccMPacMcHIhczcdHIpmpQcncvdKcOticOFHedHeocxjcIxcakhcaDccxHMGvFarNcIcomyonbFAQCMefcucKzAPQH",1.13534e+07,7689.05,369,325,69,3, 111
"[80]kKQxIHKQEOKlQHHKcvIzcAupsLtejlKQcaOyOfsgacpfzlytmFefapGLuricRbbFsDKylBcrcNIHhNeH",2.28179e+07,4076.7,726,347,80,1, 112
"[89]zRCbHxKOceHuBnHacnfIkciajijBcjrtmPphFfBkKcFNcIgaIaaQKhddQzMjcgKnGFrxeHjwpfelahgczjcbHpCgO",7.619e+07,133657,596,490,204,0, 113
"[78]ecdxmgFJrHsgcicQccHPMhcDgFOoaAchcicFIiIOPHDJcFgmAnKcqEHdBzQKPmRMyEPmjtrxKzuyqt",75501.9,2302.96,1793,261,84,3, 114
"[100]AAyQcQItLbymPpgNcDLvuwEeEMhcbgiHCcHMeMOfFpasHHLbtiocRaHQdbftbyKhcHMqoFfwDlnxwMFEEQLclKcmnehzhclInePG",42650.7,4931.51,860,259,91,1, 115
"[55]JHnHIPbeQKMGoQqIQzIHeglBsPDelLzuMmBcajcicmPjHPclMyLpsHt",1.69182e+06,48423.2,1704,233,7,1, 116
"[94]sbpccaoQoAnMcAFznLumxQshedOEabPFMxIMxHMKNdMvmLlFmcfcAAmHoayxHzLkKccRoCaicqccmzIFRylucxccMuqEPG",2.45344e+10,37567.8,321,557,180,2, 117
"[100]mRsnbGIcwFxckjesOdcgckcwcCIHMCFqExAiABKvguzrcyoyILusfacnAxKdcvgcPdesLAaIvaybcOcQHMHEcHIvHOckKcyRvuNK",5.35004e+09,1.15611e+06,482,380,27,2, 118
"[87]fsImdIHvHPANfxPIHPcwBontRccKinkaOMbuNgNHiMKKbOazlffatEnhBxanLFllnskdEOtIdBmLKscHsmuPvOG",91334.6,103695,1000,181,1,0, 119
"[51]LcQLQcQIwcCkaoxeexeocmhHsHPJhpPHOHKicIIDRqENeKcHHMr",475523,110488,1847,215,9,1, 12
"[99]FPHeJgvlmBFLcHjueIIIMycjccKBfBxOjsLfHcHEsswcJCJujQiutjfjccqabcHHRycvMvijubscEFxgfyMGnKpzArxIKcRrFNC",1.70723e+09,1.13534e+07,735,430,95,2, 120
"[101]IhcjcHcvjbcckBKcwMOcQvccBccFKccccicRILNrfBmcyzjcpIrfRrclqcoctMccIwsJvcRtyKgFDsjuwwncgtgcmcdzFcccbOzNG",1.63158e+08,5965.41,193,378,80,0, 121
"[95]jpcyrpCetelBOFKuvxsIxceAHQAswxcIifbHhOJcsfnnEQvcFsHvxOLtratKcbQIBncNhxBckccNmcucDcqcytaJJarcBQG",1.57348e+10,346240,332,581,211,2, 122
"[62]plicAucNAoHRdsaPmoGORCDKNEcyjcOeKeBrcKckzfeOIjBFHKHHirphIHeMcJ",222056,133657,1987,247,53,3, 123
"[77]OGjLQzKpbeAILnBHmcstnIootpklaMzQNHOHbNoAOmdLcIrsOcaHyomHHocHMeyyfIxyrNcwKcFnI",2.83639e+09,741456,1013,375,32,0, 124
"[99]CCGHFOQIDMhMMtbbvccIsIqecfHvCcPHofPvauHCcKcRFcoGKdmvcMbcNcClrrycrcCcFkbcBcvQnfwccDdabmcPGMcLccIFpGd",3.07755e+15,27354,436,699,137,3, 125
"[69]nMtrnyQdRFaQQvusKcpGAIOmHqKAazbDsoCdHeFeIKnaPrOGwnhfAPPrPDiABJAsnHsnc",125438,19917.7,1604,216,31,3, 126
"[77]BHRLItezidHydBaKcpdePKochIhaHIpcPmHEDcOkbamcHbDCORvzqfrjGRRjEivwKcxaPCORMsPaH",3.89548e+09,91335,1346,447,99,1, 127
"[103]HHhlaRicioJnEABgcxIegiahsxtKLEDgEkarKuPHPeJFwNaGtyskHFBcuKeicAjBBcczcRHEIHKlFaMdinrcKhKcAtcwceayILHdtcl",2.14149e+07,31055.9,824,366,100,0, 128
"[95]nRMgNfKDJqDjGgdHCDsBpwkcbyKnqEfqgtDvcujdhtzjeJNPMfItEsPNoADcxsOqAOqeGEsJgmhFMCuLypxctPwIKoNJHqM",6.59033e+08,8192.34,2090,541,221,2, 129
"[82]HtLhvaHMNPBAcMtyaNiiPcncjcwIFOjteorprQIuKvjgFNgAAKcHxzsMtbIcuawgHtkdyhfbdKHBeMzMQx",4.88635e+07,22612.5,821,517,238,1, 13
"[52]tcIHoqIKcRnILrHrIpDHKcJOPoHHqLqdnIFveFeogRGbJAgrcHKc",1.58779e+06,183563,2417,302,77,3, 130
"[97]rMtwyaePDwcwxwcMLpCGykDfycPccmHBcKcRjcckrciEcDcxophkcvlEcQcttcccccOIeczccIwBmcyvbijIcauykHLcgvcct",955699,7689,241,221,4,0, 131
"[85]FbFkIdEaHHOQczcfvHHpbeAKcRKQLfoHlfhIopkjcIjMxvEfgQfxIgrsbBobfhKPQHHLKIHFRMmAPkCmsBpwB",2.12219e+11,4.38268e+06,1127,493,82,1, 132
"[94]KccynRaQaoKMHMQnHvAgRnEjHfKNyzHlcFzDmAAselAxqxvbmzeaKbuwrkPfiRbLJdiwdnGzvLoIpteEKImbczHFLCyKMM",539870,15452.4,1269,246,38,0, 133
"[94]BscwlvcIuPMOotcvhcoAkcycAOEgnwIIHBcbbyHLHtcdoEPeKgcfcxjcccHzcKcRROGjOeEiucticIdzdNMicJKdQhcDcO",6.83365e+06,31055.6,460,320,72,2, 134
"[103]wRQcfPvIRwLHKMcpcQFORgcqOQwlizdOiQfyzIEGcDvJKPKNdbjcroONEnzNNcIsDczLzncrKwsJsILwEtwxybcwHKcMcMcfecRmNck",1.22074e+10,324951,531,382,16,3, 135
"[94]KcLrbfyfgpGOlPtsvauINIssyHcdjcdczocIfNpcfcbcIHuwboIOAocHNcHovicwpRvMJicQneHfMqaDBxGxolDQEnfwbH",1.18799e+08,475524,770,510,217,0, 136
"[96]cMhLhINHcyzcenHubmzHhlxccEuccOuQFxzcHKBckcacioegcBbRQJzvAPcLcNyccCcruDfggMppcGQbuIgNzuMebkfcMsiB",2.06524e+09,29146.2,311,459,121,3, 137
"[102]oACbccHdcfIcFcHQplpcIjcnBcIRcjciAhAQaRchfgfEArpcOvgbcHIkjhNmaLyFDbLoAPGhpKFEmOLrpAKccRczicHKKHpveuOlbg",2.94111e+07,1.39854e+06,592,324,53,3, 138
"[89]dMGQjLakHMycgvtfpmuEQpaEcyMKfaIipqLcbrvEAsaQDfrIKcArAHrpdaEMKAamhHRcnnatKrBMcqyEbzjjcicIr",8.11815e+07,51595.2,808,345,58,1, 139
"[82]FIfanldcocNlckIHdAbfmnPedBcrPxzNCfQjcwbeQnCcHFeMHuHKcRtmbhuwaMzKtcgCbsyzocmIkntocG",4.18852e+12,1.02759e+09,550,710,252,3, 14
"[89]RtNORhcmvfccpBsawBedABsHnBHNIbRPKcRwndgcrQhucoGobkBfKcdOkzvNcHrxcczoddNocKyeLeIgyofLHhceB",117726,7688.96,1505,194,10,1, 140
"[92]uOKdbIBcHCqwPHQDJdkuMvOfMrlgyHkrcrtMMdPjMFIdxmOIosOJmhKQHlKclcntclczaAoHjblqxkcFowpyuRQIiNbG",5.20647e+07,37567.7,963,342,62,3, 141
"[85]KjGyDlnOQtAgiRfFaLMxPNIgObkhpfkHOaxnKExPGLJANtrcJoHKQRKIivcuombIpwDIzghMJpoyAroLjKEpC",1.03696e+12,1.00913e+10,1978,436,0,0, 142
"[99]GjHHdLDccHRcHgNFDcIEbpgcEyKcDcccslsjKxeaBFvzycstcccRpljMcbPcFIdcuNpcfODbcenpcOKcccbcbndNcHckgcyIcPb",9.2167e+07,2454.15,302,388,99,0, 143
"[95]nmauQcoyHugctFNjfIAogccIRcLHmQBglciRKKHvjcccAdsPbwNRphOcqPEFNPfxMhcofrxcoBoIzmxQmKuplJtpBpbwvbM",70859.6,10559.8,955,211,35,0, 144
"[102]ttcpQIviecylcwHDcgocHcjcfoKccmoCmBncIPcPBpycxhJEfyQtKyafQQKlIpaHoHbnlFOaEhKEeNdciftFlNbbPLhctdfOjcccLv",1.7864e+10,48422.9,308,475,103,1, 145
"[99]RcHRvoBumQucEbJAFccKwbRRicQExQMoOuficPFDfpOQcIIarackLyFIjcnFkatyPRsctGirOowvQvwbbIHkcfcKNHbhKcDcjlL",1.70723e+09,4.88635e+07,328,428,93,0, 146
"[83]DbBIDeKmBsQhwCcisajPuHFaCiJKsMOdJdELIcBcKoczgyHHHuAhcIFMdgHQIunEcpeRHOMofeHiocHRQPI",1.18799e+08,446286,1817,485,192,0, 147
"[80]GjtfoyiKjQJEajhcsKHhIBpccbegjbccRHgcPpRNaencIibQRQDFmMHtqMzeoKMckhHweerMbiNpKdMb",1.04639e+08,3590.79,1148,344,53,1, 148
"[101]QcOKcnQbNHDafiFpAhcMHyeIiiccwjcFcOIBkHHCNJOkakIExFPbyApxFDhNqRsPECgMbpuetRBQbacQKfnHIHsfiQekOAQuHPfmK",33089.5,14502.3,2065,195,31,1, 149
"[92]axIcQceIycMrOMEcHaKjciRNzyHMBeaaPcqKxcmcNpKgptDcLHyMQCvaIyLjKAhDpGPNwiDyENprKmcpxpPdLgjlFMzd",7.34771e+09,3.8255e+10,460,604,246,0, 15
"[101]bfHOauOvdQNicKccccgcRidqccREcapOrvecccicjcOiwIwLFmcqfxudccqPfcMoQIqswshcEqaNEIsNyDyaIdDcIcuLJhczHNnfD",1.18799e+08,2785.88,413,405,112,0, 150
"[92]DCaaMQgqOCxGgEbPwPfNKbNGghQNcaoaunIHMaKcRacnILcGicccBfgqcxvqxlcJrtwJkkbfORFzKbwDbDaOlbgnMkEK",5.06685e+12,3.33916e+14,793,461,0,1, 151
"[94]tPzAOpciPueeeazhLBwRwvjrupKOHcvcKcRzLEPxcgcmygFerNBdeLILDednGtccIBcpbAImcOkHLldsbwHxvmcxcqcRiJ",5.44791e+08,286220,774,321,4,0, 152
"[100]NhjeovKcBccnHRBacKvIIAMcxwHvcccwccqnEltpiBxOKcQKfHmkMcMeuaAcLckBLMwoepicaNlAceFNGlccqcccfnMJxcNtrucc",4.03931e+07,125439,331,316,40,1, 153
"[54]HcQIKcMGhIyOlcHnbIHOldPOQnOHHBjHiaikcCicCGDOnqdFuucEHc",142413,29145.8,1506,245,58,0, 154
