genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[85]GxFEAxIoORHpxcHPpvHNDoovPGHNwxsHxHKcRicbINRARfyICDBwceGEjcDmvtxGIvNBdfpjIFHsmpfzcFtrb",2.86906e+06,136114,2813,237,37,2, 1
"[96]diicIdMbLcFoJagcIMQIwnoOateQaFDaobtIbINHcBaDqtbcEMDpGxuHnefHFaFIvcsnakwcqMOpaNRlFuiaiIcHKckOqpeE",1.84865e+09,60080.3,803,561,274,0, 10
"[52]HIlHoNQogcpebfChyQGjkLcHfdQrAOfzHseesLNcIKfIbKcHmchc",602111,87130.9,1445,232,53,1, 100
"[90]aPGvONcchwhPFuIlvOlbtiIAcIjMFKMxJQidrxNHsnhxlcjcsEOIAaOxvlFQwlbcNxKcHMAKnbFhLbRcvvmdHaQvhm",1.2803e+11,6.50002e+06,928,439,95,3, 101
"[89]ncDNuydkadfCcdAkGNpKMPEEexFoBduQDeIfNHDfbyMianIfrMdbzNKFNhpzkcMpHMnKRAEdalPlbiaEccincPqhi",1.97832e+06,5167.18,1905,237,42,2, 102
"[38]kKQichQHzaNxLcIIMzEzrHMQhEcINImHHKhamd",22854.6,5995.17,3435,153,18,1, 103
"[100]qcDDNfHnPRyyHIjwnzfENKiuDEfIdJdqzgeOtpHhKmgItKtDnMIKmQzorpyFCKbvrcKcLeskvakfOcQHHoJKIxblCcCcgHyzPabG",2.3005e+07,8694.6,2032,363,135,3, 104
"[105]cfBHmIKBfORHEbkMiKcRveOICDyQMzgInkQgsPCBgNnyBydHRcbeKnxPtrDtMAwPiJHbFCGDLJwNHcRrQntecdIpIRFdiNyOHMIHqxgJf",117307,30770.5,3136,218,61,1, 105
"[124]KDANJAOvwcLrBRAHqagjGLtyLOIeBlHHjceNcNIaKOgOKdIgePoHPmHCzuoOHxBAFmxtkupGQMhkBajljdCEJABICgzilDbpzbHyuavMbACoEPGPFnJjwNeqjGyF",13581.7,2280.83,2732,156,28,1, 106
"[47]QPHnfpxeHjchHvKnHBcIHEkDsBHskgdPfufHNbQcutvsIKG",30770.1,87131.6,3027,163,24,2, 107
"[61]PjLbHaeIzeHOIcbxKOGwgBcankcHsHgIxvaiBHpwnwcCutqMuepwvocgEbLAi",183256,6457.96,2157,169,6,2, 108
"[87]yrHcIadzclFOcFtFHmckexjcomFMgcgjbOcHuvvdIogdsOcusloagKhdIeecBcoKFtweQncydBDcdcpnbvHHnlO",1.4694e+06,146620,741,263,72,1, 109
"[96]cKcoeENlifaRacEQcJoEIDutecqJCRmuxLJJGGEefcPosIEbQOLPkFjcAIHpPnQcbIAnQPJMaBfKfyLPjlMzoHOHFmHnHslH",3.88815e+09,1.09141e+06,2034,346,49,0, 11
"[85]PHeeaOlhatDGAyfzhMNlxEIgMaahHIlozxKOFPGmNJHNIqtGLjesPLGKukpmbOackAmjtbIBfIlrxOzmDxxfk",26518.6,10088.8,2380,160,23,2, 110
"[91]lIAEosMDfEdHMfcjfFlapcfKKckRKnhbMGKFnnyRqBmbggyaeEpjFQmIcmiIQmcslmyMQOgwkPkvwckdefIlExAEBvH",332175,3070.96,1055,197,26,1, 111
"[100]LCBbgvivoiOmfjrPhMFcwKtLibnwuMRmQDstnpBaJxjaDeAzcLxHcKcfOlREfKcFIMGlIycQAkMJnPLcslacFjQzhyOQvpiIdEcH",1.71245e+08,752563,861,266,11,0, 112
"[96]MBcFpmnQQPICcKcOcIkejeBcpcAHcHLRqcQkFRbqQkAnGrnHOttRQlaPxfypfguOJxFBcczfQmvddQHPRdFLbzcHspBLrbcs",5.62648e+08,75092.6,882,459,188,0, 113
"[74]DzjtpNcriuBOAAFpmntMpjEHycILfCcNMHkHgHJazoNxbHKcRKGEczcgItyjicIQxOkicIhcxc",246724,117308,2580,186,19,1, 114
"[101]tfuIdzpAhdBfHKclklagKqQdjgPNcKcgqccNcHPkdNjybmkhLcqMeCaPcjyHRMwyAlcJonqLhOpdjoDrjbiMwwKenfHgemikcMGLI",4.16086e+06,308375,571,334,129,2, 115
"[98]ckILBcwwvHAifKcujdwyFRzLdjKMRioIuaEwcgqMpjzgnOJvxKlRudlrswAwAmaLlptPCjNBPKKugtmBnGikecmpbstemxBKvu",212635,16976,1021,188,23,1, 116
"[92]HcrQeljcjnpmxBoNRpxcpmmkcccgyItHpRNxnPzKQHkMnoxvjcNcoKDcQccQdmcOJsBdncPacdGlMgJkuAJwssscjdAH",3.87966e+08,87131.2,640,569,303,2, 117
"[103]KECNdejOmraHqyrErCuoEjesAKPxhAuCprscanqRGioNHIpCuMmhtsttfsEBqBPFFzNlAKaxPJdvhHIoFEKQhtHpbzNMelKcRGMjIqm",1965.38,555.735,2457,134,32,1, 118
"[78]boAydDjPHrIuBfAMGQzPxslzIvtLkoaHHelfjJkfuHKcyicqIAFzCpOHGiFvnEreKcRviNcRhgPtAL",2.66932e+07,810647,2596,239,9,1, 119
"[61]NgoAHypqEdfvkQldHOvhcfNcIhPtekgmIfjnHQkIKcjbIMNlHpsgQBxHocHzJ",6.50002e+06,183256,1210,577,366,2, 12
"[99]cQaIQftexmDcfHpbIcKcswPpHHsHOJOnycnayHcFPGdgaQCHFpzefwHmmoAsmnLrovsacInnPoEDdzzBIjOhsIPPJgwcmnadRKL",940608,13582.5,814,492,307,3, 120
"[100]KFhJFctctmOcQceHccIplKckvbwOcIffnFognQaEcjcHflcKcqrKBAazHxvtofKQhhHMNlLcBHvKbsOEMcACcBcPGesxHneuOswd",8.75124e+06,10867.4,367,258,43,1, 121
"[99]xMnuwccDbbuMbewCcvoBMDKlhMgKlwctsjMrwvhcOjfjedKIROckmOkzcncKcgHPuAcNcacrcJRbnazKcFcHDacdnJLRoMhmiQG",1.47584e+08,1.70871e+07,441,499,246,0, 122
"[86]OQEHnQzFwILbynbLdOtpsaHDcyrOkHtdaDKsaEcuQrILcQIokpeQNNEcNOHoadNzdapINKrKrOdomczOLPjyOP",332175,26519.3,1385,182,11,1, 123
"[84]BDtiIPnDbyrgKFOoLoGluKOIPkkcHBPjjqolftQdudicPypJFCBrNQsoGijzhifEPcwrIovfiLpgxsOoLFKQ",157936,26519,2982,193,32,0, 124
"[97]qNjsMGIKclcnMjhnHHRcQniMFhmmAaMMcKIaRioAkdpJfOdsblgEvmmancOzNxOgMjhrigalhebdiLdGmkhrgRtaRvifQDHNR",80887.6,1258.44,2399,177,25,1, 125
"[83]gIuNOeoOcHMxNcnomFIoebpztibKcPiceccgcnfyrCfclIfcQzyyciNcJbpfaucjcHQdbHQHjhhbNczAmPA",3.87118e+07,3.09726e+07,693,279,44,3, 126
"[82]cnHuHyzFDceIPltsxkHMHFPnONbOdwiakPGygPDIrwxBpdcLhIQFMvycNIKcuNmHukOFNsHHQJcwJNeOdH",3.60167e+08,64717.3,982,448,183,1, 127
"[72]KNRvcvgaKzEOIIfbPebEfFmhEImyHdjKofkIzIHDIGPcJJseLGrsdJPvubIEluROdENIfGxH",183256,695.073,3854,180,17,0, 128
"[86]DPfHQtmfLcnCfehmNciovufeMEmzcPDrzvsmcKInHzvcHarMoPpqDNzynfDprgDOoxdcymrKJhOwbOOpLubaaM",2850.3,1007.26,2774,158,51,1, 129
"[94]EcDcwcqqEcmaLItsBcncFybrcQIDcywcjozfKqzwugzAfQMfIKmkccOABcLAhHdcayQMdQotHmcnafHoMPgwaLwnQHpvnN",2.66349e+06,8071.87,731,342,143,1, 13
