"","seed","merit_mean","merit_median","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","task_quality_mean","task_quality_median","task_quality_max","task_quality_min","task_quality_sd","coverage_mean","coverage_median","coverage_max","coverage_min","coverage_sd","seed_order"
"1",182,66889.518,49667,166.33,157,22.530363350982,19.45,13,18.2460041287583,146.88,144,4.6040825098575,0.121226923395566,0.12,0.130790190735695,0.110771581359817,0.00707481228868767,0.1373110060477,0.130833333333333,0.164,0.110771581359817,0.0192517869244345,1
"2",169,243382.052,79973.9,192.31,192,8.17324410451072,34.27,40,8.70835544436804,158.04,164,7.61699322952212,0.130105896238505,0.125286478227655,0.150772025431426,0.1216,0.0117490375356563,0.157866555563419,0.155844155844156,0.16802906448683,0.1536,0.00580392816188979,2
"3",93,158471.156,120872,214.33,214,18.6038200704082,54.84,61,18.6594791357144,159.49,158,9.4831003326545,0.131586177217877,0.12987012987013,0.141666666666667,0.1264,0.00508860321720765,0.176815305574001,0.184873949579832,0.188919164396004,0.1525,0.0125869600158532,3
"4",100,207501.634,122295,184.91,184,9.59176309089831,25.18,28,7.80621353134602,159.73,159,3.56145186601467,0.133415431419038,0.13,0.14441416893733,0.124522536287242,0.00710901245321242,0.154175544310367,0.153333333333333,0.1608,0.142857142857143,0.00567581387594301,4
"5",124,547951.865,169157,184.65,183,14.5999688667165,17.5,15,9.18661740761742,167.15,167,11.0017216283579,0.138618127086356,0.1336,0.156666666666667,0.116883116883117,0.0153865101335275,0.153061283464092,0.1584,0.166212534059946,0.12375859434683,0.017296429298203,5
"6",163,320069.19,274300,204.13,205,8.25191131823654,35.49,44,13.8931674217977,168.64,172,9.70735428799873,0.139927292855512,0.138964577656676,0.145833333333333,0.135217723453018,0.00399070466518324,0.169860741850766,0.1728,0.186194368755677,0.154316271963331,0.0117741250727487,6
"7",133,597752.67,279341,186.21,188,13.0726756436794,15.72,21,12.5706729406909,170.49,169,4.54716028601001,0.13988077191025,0.139166666666667,0.163487738419619,0.129106187929717,0.0115191400940391,0.152929632945673,0.156666666666667,0.174386920980926,0.129106187929717,0.0168432041623545,7
"8",159,472028.67,324607,217.65,215,7.19339624203682,45.58,44,4.17829891441264,172.07,169,4.91185948866248,0.141845093477768,0.140833333333333,0.153496821071753,0.130634071810542,0.0086801651074465,0.179357779225636,0.183333333333333,0.189827429609446,0.164247517188694,0.0102545013010631,8
"9",90,439915.7,349920,204.96,208,23.4787331236357,32.69,40,14.6802244498846,172.27,162,15.296962793544,0.141023031590838,0.141666666666667,0.151260504201681,0.1288,0.00920123838787218,0.167202149450912,0.1664,0.181818181818182,0.155313351498638,0.00941246531592872,9
"10",187,3462578.26,509363,213.83,224,20.0343417282637,26.51,20,15.1574197585662,187.32,175,13.9861981029062,0.155950653319539,0.145833333333333,0.17983651226158,0.1384,0.0158537781727477,0.17807851918771,0.172650878533231,0.209809264305177,0.154166666666667,0.0215850065935193,10
