seed,category
"1","Pattern cycling"
"2","Pattern cycling"
"3","Pattern cycling"
"4","Pattern cycling"
"5","Pattern cycling"
"6","Pattern cycling"
"7","Pattern cycling"
"8","Pattern cycling"
"9","Pattern cycling"
"10","Pattern cycling"
"11","Pattern cycling"
"12","Pattern cycling"
"13","Pattern cycling"
"14","Pattern cycling"
"15","Pattern cycling"
"16","Pattern cycling"
"17","Pattern cycling"
"18","Pattern cycling"
"19","Pattern cycling"
"20","Pattern cycling"
"21","Pattern cycling"
"22","Pattern cycling"
"23","Pattern cycling"
"24","Set pattern"
"25","Pattern cycling"
"26","Pattern cycling"
"27","Pattern cycling"
"28","Pattern cycling"
"29","Pattern cycling"
"30","Pattern cycling"
"31","Pattern cycling"
"32","Pattern cycling"
"33","Reactive meandering"
"34","Pattern cycling"
"35","Pattern cycling"
"36","Pattern cycling"
"37","Pattern cycling"
"38","Pattern cycling"
"39","Pattern cycling"
"40","Pattern cycling"
"41","Pattern cycling"
"42","Pattern cycling"
"43","Pattern cycling"
"44","Pattern cycling"
"45","Set pattern"
"46","Pattern cycling"
"47","Pattern cycling"
"48","Pattern cycling"
"49","Pattern cycling"
"50","Set pattern"
"51","Pattern cycling"
"52","Pattern cycling"
"53","Pattern cycling"
"54","Pattern cycling"
"55","Pattern cycling"
"56","Pattern cycling"
"57","Pattern cycling"
"58","Pattern cycling"
"59","Pattern cycling"
"60","Reactive meandering"
"61","Pattern cycling"
"62","Pattern cycling"
"63","Pattern cycling"
"64","Pattern cycling"
"65","Pattern cycling"
"66","Pattern cycling"
"67","Pattern cycling"
"68","Reactive meandering"
"69","Pattern cycling"
"70","Pattern cycling"
"71","Pattern cycling"
"72","Pattern cycling"
"73","Pattern cycling"
"74","Pattern cycling"
"75","Reactive meandering"
"76","Pattern cycling"
"77","Pattern cycling"
"78","Reactive meandering"
"79","Pattern cycling"
"80","Pattern cycling"
"81","Set pattern"
"82","Pattern cycling"
"83","Pattern cycling"
"84","Pattern cycling"
"85","Pattern cycling"
"86","Pattern cycling"
"87","Pattern cycling"
"88","Pattern cycling"
"89","Reactive meandering"
"90","Pattern cycling"
"91","Pattern cycling"
"92","Pattern cycling"
"93","Pattern cycling"
"94","Pattern cycling"
"95","Set pattern"
"96","Pattern cycling"
"97","Pattern cycling"
"98","Pattern cycling"
"99","Pattern cycling"
"100","Pattern cycling"
"101","Pattern cycling"
"102","Pattern cycling"
"103","Pattern cycling"
"104","Pattern cycling"
"105","Pattern cycling"
"106","Pattern cycling"
"107","Pattern cycling"
"108","Set pattern"
"109","Pattern cycling"
"110","Pattern cycling"
"111","Pattern cycling"
"112","Pattern cycling"
"113","Pattern cycling"
"114","Pattern cycling"
"115","Pattern cycling"
"116","Pattern cycling"
"117","Pattern cycling"
"118","Pattern cycling"
"119","Pattern cycling"
"120","Pattern cycling"
"121","Reactive meandering"
"122","Pattern cycling"
"123","Pattern cycling"
"124","Pattern cycling"
"125","Pattern cycling"
"126","Pattern cycling"
"127","Reactive meandering"
"128","Pattern cycling"
"129","Pattern cycling"
"130","Pattern cycling"
"131","Reactive meandering"
"132","Pattern cycling"
"133","Pattern cycling"
"134","Pattern cycling"
"135","Pattern cycling"
"136","Pattern cycling"
"137","Pattern cycling"
"138","Pattern cycling"
"139","Pattern cycling"
"140","Pattern cycling"
"141","Pattern cycling"
"142","Pattern cycling"
"143","Pattern cycling"
"144","Pattern cycling"
"145","Pattern cycling"
"146","Pattern cycling"
"147","Pattern cycling"
"148","Pattern cycling"
"149","Pattern cycling"
"150","Reactive meandering"
"151","Pattern cycling"
"152","Pattern cycling"
"153","Pattern cycling"
"154","Reactive meandering"
"155","Pattern cycling"
"156","Pattern cycling"
"157","Pattern cycling"
"158","Pattern cycling"
"159","Pattern cycling"
"160","Pattern cycling"
"161","Pattern cycling"
"162","Pattern cycling"
"163","Pattern cycling"
"164","Pattern cycling"
"165","Pattern cycling"
"166","Pattern cycling"
"167","Pattern cycling"
"168","Pattern cycling"
"169","Pattern cycling"
"170","Pattern cycling"
"171","Pattern cycling"
"172","Pattern cycling"
"173","Pattern cycling"
"174","Pattern cycling"
"175","Pattern cycling"
"176","Pattern cycling"
"177","Pattern cycling"
"178","Pattern cycling"
"179","Pattern cycling"
"180","Pattern cycling"
"181","Pattern cycling"
"182","Pattern cycling"
"183","Pattern cycling"
"184","Pattern cycling"
"185","Pattern cycling"
"186","Pattern cycling"
"187","Pattern cycling"
"188","Pattern cycling"
"189","Pattern cycling"
"190","Pattern cycling"
"191","Pattern cycling"
"192","Pattern cycling"
"193","Pattern cycling"
"194","Pattern cycling"
"195","Pattern cycling"
"196","Pattern cycling"
"197","Pattern cycling"
"198","Pattern cycling"
"199","Pattern cycling"
"200","Pattern cycling"
