seed,category
"1","Pattern cycling"
"2","Reactive meandering"
"3","Pattern cycling"
"4","Reactive meandering"
"5","Loop"
"6","Pattern cycling"
"7","Pattern cycling"
"8","Pattern cycling"
"9","Loop"
"10","Pattern cycling"
"11","Pattern cycling"
"12","Plowing"
"13","Pattern cycling"
"14","Reactive meandering"
"15","Pattern cycling"
"16","Pattern cycling"
"17","Plowing"
"18","Plowing"
"19","Loop"
"20","Loop"
"21","Loop"
"22","Loop"
"23","Loop"
"24","Reactive meandering"
"25","Pattern cycling"
"26","Loop"
"27","Pattern cycling"
"28","Reactive meandering"
"29","Pattern cycling"
"30","Pattern cycling"
"31","Loop"
"32","Pattern cycling"
"33","Pattern cycling"
"34","Pattern cycling"
"35","Pattern cycling"
"36","Plowing"
"37","Loop"
"38","Loop"
"39","Loop"
"40","Pattern cycling"
"41","Pattern cycling"
"42","Pattern cycling"
"43","Loop"
"44","Plowing"
"45","Pattern cycling"
"46","Reactive meandering"
"47","Loop"
"48","Pattern cycling"
"49","Pattern cycling"
"50","Reactive meandering"
"51","Pattern cycling"
"52","Pattern cycling"
"53","Pattern cycling"
"54","Pattern cycling"
"55","Loop"
"56","Pattern cycling"
"57","Loop"
"58","Pattern cycling"
"59","Loop"
"60","Pattern cycling"
"61","Pattern cycling"
"62","Pattern cycling"
"63","Loop"
"64","Pattern cycling"
"65","Set pattern"
"66","Pattern cycling"
"67","Pattern cycling"
"68","Pattern cycling"
"69","Pattern cycling"
"70","Plowing"
"71","Loop"
"72","Reactive meandering"
"73","Loop"
"74","Pattern cycling"
"75","Pattern cycling"
"76","Loop"
"77","Reactive meandering"
"78","Reactive meandering"
"79","Pattern cycling"
"80","Pattern cycling"
"81","Pattern cycling"
"82","Pattern cycling"
"83","Pattern cycling"
"84","Plowing"
"85","Pattern cycling"
"86","Pattern cycling"
"87","Pattern cycling"
"88","Loop"
"89","Reactive meandering"
"90","Pattern cycling"
"91","Loop"
"92","Loop"
"93","Pattern cycling"
"94","Loop"
"95","Pattern cycling"
"96","Loop"
"97","Reactive meandering"
"98","Loop"
"99","Reactive meandering"
"100","Pattern cycling"
"101","Loop"
"102","Pattern cycling"
"103","Pattern cycling"
"104","Loop"
"105","Pattern cycling"
"106","Pattern cycling"
"107","Pattern cycling"
"108","Pattern cycling"
"109","Pattern cycling"
"110","Loop"
"111","Reactive meandering"
"112","Pattern cycling"
"113","Loop"
"114","Pattern cycling"
"115","Loop"
"116","Reactive meandering"
"117","Loop"
"118","Loop"
"119","Pattern cycling"
"120","Pattern cycling"
"121","Loop"
"122","Loop"
"123","Loop"
"124","Pattern cycling"
"125","Pattern cycling"
"126","Pattern cycling"
"127","Loop"
"128","Loop"
"129","Loop"
"130","Loop"
"131","Loop"
"132","Pattern cycling"
"133","Pattern cycling"
"134","Loop"
"135","Pattern cycling"
"136","Pattern cycling"
"137","Reactive meandering"
"138","Pattern cycling"
"139","Reactive meandering"
"140","Pattern cycling"
"141","Loop"
"142","Pattern cycling"
"143","Pattern cycling"
"144","Pattern cycling"
"145","Pattern cycling"
"146","Loop"
"147","Pattern cycling"
"148","Loop"
"149","Loop"
"150","Loop"
"151","Loop"
"152","Loop"
"153","Pattern cycling"
"154","Pattern cycling"
"155","Loop"
"156","Set pattern"
"157","Reactive meandering"
"158","Loop"
"159","Loop"
"160","Loop"
"161","Pattern cycling"
"162","Loop"
"163","Loop"
"164","Pattern cycling"
"165","Reactive meandering"
"166","Pattern cycling"
"167","Loop"
"168","Pattern cycling"
"169","Reactive meandering"
"170","Pattern cycling"
"171","Loop"
"172","Loop"
"173","Loop"
"174","Loop"
"175","Loop"
"176","Reactive meandering"
"177","Pattern cycling"
"178","Loop"
"179","Pattern cycling"
"180","Loop"
"181","Reactive meandering"
"182","Pattern cycling"
"183","Loop"
"184","Loop"
"185","Loop"
"186","Loop"
"187","Pattern cycling"
"188","Pattern cycling"
"189","Reactive meandering"
"190","Reactive meandering"
"191","Pattern cycling"
"192","Pattern cycling"
"193","Loop"
"194","Loop"
"195","Loop"
"196","Loop"
"197","Set pattern"
"198","Pattern cycling"
"199","Reactive meandering"
"200","Pattern cycling"
