"","seed","merit_mean","merit_median","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","task_quality_mean","task_quality_median","task_quality_max","task_quality_min","task_quality_sd","coverage_mean","coverage_median","coverage_max","coverage_min","coverage_sd","seed_order"
"1",66,851805.66,551258,209.3,207,11.3897880896561,2.66,2,1.36492868056551,206.64,206,11.4004430181507,0.14989796586307,0.146710526315789,0.156877323420074,0.142758142758143,0.00619609751675331,0.151863554275469,0.149342105263158,0.159313725490196,0.143451143451143,0.00689461810034565,1
"2",165,583520.71,753978,211.78,212,8.22361713529264,12.54,15,5.47800007744477,199.24,202,9.77020827295763,0.146160812277576,0.150185873605948,0.151143790849673,0.138157894736842,0.00540888929721251,0.155612396852968,0.162081784386617,0.163398692810458,0.139473684210526,0.00934039106166009,2
"3",58,818916.88,884745,217.55,212,16.0902599309789,15.17,11,7.26004007001214,202.38,196,19.0961310799393,0.145283709432587,0.151960784313725,0.159390159390159,0.128947368421053,0.0126873806746213,0.156650378957013,0.167013167013167,0.173202614379085,0.134210526315789,0.0158254807647782,3
"4",113,5336594.34,925466,240.9,240,3.99368187885502,19.34,15,9.81466641143125,221.56,225,7.35028344124678,0.161816049198399,0.152460152460152,0.183823529411765,0.150657894736842,0.014540734822943,0.176029352922617,0.171171171171171,0.196078431372549,0.155263157894737,0.0155861840196084,4
"5",38,30986830.6,3655920,306.26,308,9.24046874494268,65.36,68,4.92267480875258,240.9,242,12.0483034557408,0.177834583195673,0.167706167706168,0.204248366013072,0.166542750929368,0.0169713408673047,0.225893322098289,0.218587360594796,0.251633986928105,0.210526315789474,0.0167611870237941,5
"6",177,55232647,10043800,286.84,290,37.8072517227619,28.23,38,12.3638892576631,258.61,251,29.9925563155833,0.186507177321168,0.178921568627451,0.209286209286209,0.165131578947368,0.0179365302922442,0.206352930253497,0.190789473684211,0.229739776951673,0.186274509803922,0.0201030497992866,6
"7",8,26183837,30035200,283.05,282,17.6911636905906,19.62,18,4.25163070319656,263.43,264,21.4038866479049,0.188935321486297,0.191078066914498,0.192763157894737,0.182952182952183,0.00391305715791913,0.203315062024148,0.201973684210526,0.209150326797386,0.195426195426195,0.00573900678792662,7
"8",175,74684805.5,39223800,307.07,310,38.9078826631999,35.78,36,5.11598801145325,271.29,280,41.2036810653288,0.192357744872362,0.194040194040194,0.211842105263158,0.165799256505576,0.0158010865040294,0.218247081511465,0.217320261437909,0.235526315789474,0.192565055762082,0.0139460819547809,8
"9",40,109448584,52621650,290.13,292.5,8.67791228442427,13.66,10.5,6.81978701643203,276.47,275,10.8053998846256,0.200660914091406,0.197290856770411,0.217320261437909,0.191447368421053,0.00943946555358572,0.2109450242012,0.204498579219769,0.238562091503268,0.198026315789474,0.0154164720653372,9
"10",161,90649484,95775800,292.47,313,33.0434226099201,12.42,13,3.5962382141523,280.05,305,35.4285096063791,0.199558138038014,0.203947368421053,0.211365211365211,0.181372549019608,0.0106990678489921,0.208629405225677,0.2125,0.216909216909217,0.196078431372549,0.00756832082537627,10
"11",100,175609858,114020000,321.71,310,26.4614432674784,31.12,22,15.9944940021196,290.59,271,31.7092520672858,0.20856253309045,0.205882352941176,0.217763157894737,0.201486988847584,0.00672754622599368,0.231768259139314,0.232236842105263,0.253267973856209,0.214126394052045,0.0139874669351407,11
"12",14,2634047110,172355500,316.75,315,4.51568534570492,17,17,13.0654915983698,299.75,298,17.0171482138851,0.217478860731836,0.21046761886128,0.255718954248366,0.196119196119196,0.0230179562530157,0.229651721712487,0.216909216909217,0.258986928104575,0.213157894736842,0.0183604978731612,12
"13",90,1350044960,206992000,322.44,302,29.4701766728894,20,6,17.5982092752919,302.44,296,12.5821101151395,0.217422023271821,0.2125,0.250816993464052,0.201663201663202,0.0172597476138081,0.231938765587959,0.22453531598513,0.284313725490196,0.205128205128205,0.027916897154173,13
