"","seed","merit_mean","merit_median","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","task_quality_mean","task_quality_median","task_quality_max","task_quality_min","task_quality_sd","coverage_mean","coverage_median","coverage_max","coverage_min","coverage_sd","seed_order"
"1",32,56963.089,24815.1,165.78,167,3.60577538979013,23.79,22,5.60536359303311,141.99,146,9.1015538688887,0.117314965811343,0.112299465240642,0.132606721162579,0.108333333333333,0.00936607286187255,0.137019493833996,0.134166666666667,0.151680290644868,0.129106187929717,0.00790712597167356,1
"2",36,179711.561,24815.1,162.18,158,10.5805042747059,14.5,16,7.60980229106453,147.68,147,10.3912161818227,0.122186652367561,0.112299465240642,0.148047229791099,0.1064,0.0159048522278869,0.134305885872209,0.1264,0.162579473206176,0.115355233002292,0.0179185061374112,2
"3",200,76238.084,72297.9,185.92,190,12.0911354121751,35.12,36,7.34197837538674,150.8,154,6.02016812409955,0.123909073248918,0.124166666666667,0.12897366030881,0.117647058823529,0.00452438311665963,0.152691580835257,0.14514896867838,0.1632,0.144166666666667,0.00827196684386144,3
"4",116,727579.62,105241,201.45,195,15.8250376992227,35.03,34,15.9382995937269,166.42,161,10.398309885979,0.137294196700132,0.128333333333333,0.164396003633061,0.122994652406417,0.0158713706233115,0.165565908555942,0.16,0.1848,0.148968678380443,0.0137519799237141,4
"5",178,258209.327,142519,224.64,242,42.7441342186388,68.87,63,40.1365484970061,155.77,145,25.6490907945264,0.127843720175214,0.131698455949137,0.150496562261268,0.104,0.0170207835594487,0.183259219949362,0.1936,0.203333333333333,0.138056312443233,0.026451750942866,5
"6",98,14973717.08,146445,267.36,263,14.959554900741,81.32,82,19.1194438024,186.04,165,27.9884247358067,0.153420468856356,0.132,0.200726612170754,0.131666666666667,0.0269526339415645,0.220691107486839,0.219166666666667,0.266121707538601,0.1976,0.0242090012224108,6
"7",186,422682.7,154674,199.56,168,36.1364753190575,30.8,22,15.0037032465692,168.76,150,21.4876614818736,0.138281735340259,0.132606721162579,0.1544,0.125,0.0114182561275853,0.163170085802961,0.152588555858311,0.192,0.135833333333333,0.0224906361116764,7
"8",144,1137782.612,182684,190.6,192,9.25290017325172,18.75,16,12.9866870449719,171.85,176,22.1889839808183,0.141236457674078,0.134453781512605,0.166666666666667,0.1104,0.0208302096732998,0.156610069258518,0.146676852559206,0.172570390554042,0.1408,0.0133600291550085,8
"9",74,804570.51,224589,198.81,213,19.9507955336183,24.13,43,21.6121248236711,174.68,179,5.72585841123011,0.143831827274184,0.136745607333843,0.163487738419619,0.1328,0.0118888422885498,0.164212739250171,0.1704,0.202543142597639,0.139801375095493,0.0247680600195197,9
"10",111,239793.75,232780,192,190,18.3264449869195,25.5,25,14.2400062421959,166.5,168,7.80119131021576,0.137184403580605,0.137133333333333,0.14078110808356,0.133689839572193,0.00254202221985714,0.158121779110455,0.158210224887577,0.1744,0.141666666666667,0.0124346226030882,10
